name,map,recip_rank,P_5,ndcg_cut_10,map +,map -,map p-value,map reject,map p-value corrected,recip_rank +,recip_rank -,recip_rank p-value,recip_rank reject,recip_rank p-value corrected,P_5 +,P_5 -,P_5 p-value,P_5 reject,P_5 p-value corrected,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value,ndcg_cut_10 reject,ndcg_cut_10 p-value corrected
BM25,0.07075853147761935,0.17868082384911702,0.056000000000000015,0.07187967821684779,,,,False,,,,,False,,,,,False,,,,,False,
BM25+RM3,0.06340659465204096,0.16899877467771862,0.048,0.06414843177466464,14.0,32.0,0.07031764010709518,False,0.2812705604283807,8.0,21.0,0.4148391773315196,False,1.0,1.0,3.0,0.3222234059506757,False,1.0,10.0,10.0,0.3016718453429813,False,1.0
BM25+Social,0.07882196578273408,0.1836204903076621,0.07200000000000001,0.07501031430143568,34.0,14.0,0.0016127058427152445,True,0.006450823370860978,25.0,11.0,0.8152680926222088,False,1.0,5.0,1.0,0.10300003741125191,False,0.41200014964500764,13.0,8.0,0.6897989084100634,False,1.0
BM25+Graph,0.06940329957872603,0.1791761946896734,0.05600000000000001,0.07036568279761699,14.0,34.0,0.006969940461447939,True,0.027879761845791756,5.0,15.0,0.4883805464270125,False,1.0,0.0,0.0,,False,,3.0,2.0,0.35378756758185775,False,1.0
BM25+Full,0.17671222706827094,0.40847008253557804,0.21200000000000002,0.2269684759560054,47.0,1.0,8.516787383235732e-10,True,3.4067149532942927e-09,42.0,2.0,2.0539187615637487e-05,True,8.215675046254995e-05,27.0,0.0,1.0872302193172326e-07,True,4.34892087726893e-07,34.0,2.0,1.015873643530258e-08,True,4.063494574121032e-08
