name,map,P_5,ndcg_cut_10,map +,map -,map p-value,P_5 +,P_5 -,P_5 p-value,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value
BM25 only,0.07075853147761935,0.056000000000000015,0.07187967821684779,,,,,,,,,
BM25 + Social,0.07882196578273408,0.07200000000000001,0.07501031430143568,34.0,14.0,0.0016127058427152445,5.0,1.0,0.10300003741125191,13.0,8.0,0.6897989084100634
BM25 + Graph,0.06940329957872603,0.05600000000000001,0.07036568279761699,14.0,34.0,0.006969940461447939,0.0,0.0,,3.0,2.0,0.35378756758185775
BM25 + Content,0.15355786551637074,0.1480000000000001,0.1798529838551208,45.0,3.0,1.965845652884302e-07,17.0,0.0,2.9284960690349205e-05,32.0,1.0,1.287438326669363e-07
BM25 + Full LTR,0.17671222706827094,0.21200000000000002,0.2269684759560054,47.0,1.0,8.516787383235732e-10,27.0,0.0,1.0872302193172326e-07,34.0,2.0,1.015873643530258e-08
